classifier,fold,val_accuracy,train_accuracy,best_k,best_params
NearestCentroid,46,0.6666666666666666,0.8507462686567164,536,"OrderedDict({'clf__shrink_threshold': 1.0, 'kruskal__k': 536})"
NearestCentroid,47,0.7878787878787878,0.9253731343283582,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
NearestCentroid,48,0.6470588235294118,0.8636363636363636,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
NearestCentroid,49,0.6666666666666666,0.9402985074626866,84,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 84})"
NearestCentroid,50,0.6060606060606061,0.835820895522388,86,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 86})"
NearestCentroid,51,0.7058823529411765,0.8333333333333334,165,"OrderedDict({'clf__shrink_threshold': 0.75, 'kruskal__k': 165})"
NearestCentroid,52,0.6666666666666666,0.9253731343283582,334,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 334})"
NearestCentroid,53,0.696969696969697,0.9104477611940298,594,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 594})"
NearestCentroid,54,0.5588235294117647,0.9090909090909091,607,"OrderedDict({'clf__shrink_threshold': 0.75, 'kruskal__k': 607})"
NearestCentroid,55,0.5454545454545454,0.6865671641791045,607,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 607})"
NearestCentroid,56,0.7878787878787878,0.835820895522388,281,"OrderedDict({'clf__shrink_threshold': 1.0, 'kruskal__k': 281})"
NearestCentroid,57,0.6764705882352942,0.7727272727272727,498,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 498})"
NearestCentroid,58,0.5757575757575758,0.7313432835820896,367,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 367})"
NearestCentroid,59,0.7575757575757576,0.8955223880597015,210,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 210})"
NearestCentroid,60,0.5882352941176471,0.7878787878787878,304,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 304})"
NearestCentroid,61,0.6666666666666666,0.7611940298507462,436,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 436})"
NearestCentroid,62,0.7575757575757576,0.9402985074626866,530,"OrderedDict({'clf__shrink_threshold': 0.25, 'kruskal__k': 530})"
NearestCentroid,63,0.5,0.8181818181818182,145,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 145})"
NearestCentroid,64,0.696969696969697,0.8507462686567164,195,"OrderedDict({'clf__shrink_threshold': 1.0, 'kruskal__k': 195})"
NearestCentroid,65,0.8787878787878788,0.8955223880597015,380,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 380})"
NearestCentroid,66,0.8235294117647058,0.8939393939393939,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
NearestCentroid,67,0.7878787878787878,0.9253731343283582,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
NearestCentroid,68,0.6363636363636364,0.746268656716418,330,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 330})"
NearestCentroid,69,0.6176470588235294,0.803030303030303,156,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 156})"
NearestCentroid,70,0.8181818181818182,0.8955223880597015,276,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 276})"
NearestCentroid,71,0.696969696969697,0.8507462686567164,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
NearestCentroid,72,0.7058823529411765,0.803030303030303,147,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 147})"
NearestCentroid,73,0.8787878787878788,0.8656716417910447,387,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 387})"
NearestCentroid,74,0.6363636363636364,0.8805970149253731,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
NearestCentroid,75,0.7352941176470589,0.8939393939393939,425,"OrderedDict({'clf__shrink_threshold': 1.0, 'kruskal__k': 425})"
NearestCentroid,76,0.8787878787878788,0.9402985074626866,123,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 123})"
NearestCentroid,77,0.7878787878787878,0.8805970149253731,102,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 102})"
NearestCentroid,78,0.6764705882352942,0.9090909090909091,396,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 396})"
NearestCentroid,79,0.5454545454545454,0.7910447761194029,143,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 143})"
NearestCentroid,80,0.5757575757575758,0.746268656716418,607,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 607})"
NearestCentroid,81,0.7647058823529411,0.8939393939393939,521,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 521})"
NearestCentroid,82,0.8181818181818182,0.9253731343283582,434,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 434})"
NearestCentroid,83,0.5757575757575758,0.8656716417910447,95,"OrderedDict({'clf__shrink_threshold': 0.1, 'kruskal__k': 95})"
